id,profile_id,passport_id,updated_at,hours_spent,description
1003078,3780245,272,2024-01-04T09:32:04.991426+00:00,2,[2h] Document skill level expectations for the Marketing guild: https://github.com/nation3/citizen-rewards/blob/main/marketing-guild/README.md
992757,77877,233,2023-12-15T06:41:51.988847+00:00,2,[2h] Wrote clarifications of the Nation3 mission:  https://discord.com/channels/690584551239581708/966360996560142396/1185102453939642368
987878,3780245,272,2023-12-04T10:34:10.765451+00:00,0.33,Tweet  on Snapshot voting for idea competition
983079,3780245,272,2023-11-30T12:33:04.201011+00:00,0.33,Made a post on Nation3 twitter: https://x.com/Nation3DAO/status/1730202628791873852?s=20
982953,3780245,272,2023-11-29T19:33:32.431915+00:00,0.33,Posted deadline reminder for Public Idea competition on Twitter: https://x.com/Nation3DAO/status/1729946470415991093?s=20
982140,77877,233,2023-11-28T16:34:24.8557+00:00,0.33,test
979304,3780245,272,2023-11-21T15:23:21.075872+00:00,0.33,Posted Public Idea Competition Twitter announcement and design
529745,3894108,71,2023-10-23T22:06:47.204682+00:00,0.33,"Share Chinese version of educational articles.(Clarity)
https://app.clarity.so/nation3-public/docs/25d40bf2-e04e-41a1-9482-57435727f581"
529575,3894108,71,2023-10-23T22:06:47.204682+00:00,0.33,"✅. The Chinese version of passport education articles is published on the Chinese channel.
https://discord.com/channels/690584551239581708/1074706865444888666/1159399855035260978"
529487,3780245,272,2023-10-23T22:06:47.204682+00:00,0.33,Made a design for the Citizen education article
526817,3780245,272,2023-10-23T22:06:47.204682+00:00,0.33,Created pinned message of Marketing guild's description and useful links
526816,3780245,272,2023-10-23T22:06:47.204682+00:00,0.33,"Added marketing guild description on Clarity
"
515658,3894108,71,2023-10-23T22:06:47.204682+00:00,0.33,"3. If the physical passport plan is voted through, the Marketing Association will be responsible for this task and will complete it as quickly as possible and issue it to citizens.

https://discord.com/channels/690584551239581708/1153368468297617408/1153382787336896652"
515657,3894108,71,2023-10-23T22:06:47.204682+00:00,0.33,2.  I agree with the idea of ​​launching Nation3 physical passport.
515656,3894108,71,2023-10-23T22:06:47.204682+00:00,0.33,"1. I think it is absolutely possible. After experiencing the baptism of the bear market and major changes, this action can let citizens know the development determination of the core team and let everyone re-understand that Nation3 will not only develop and grow on the Internet, but also Get involved in the substantive political and legal system."
515075,3894108,71,2023-10-23T22:06:47.204682+00:00,0.33,"Negotiating cooperation with core members of PeopleDAO.（In progress）Once preliminary opinions are reached, they will be announced."
515067,3780245,272,2023-10-23T22:06:47.204682+00:00,0.33,"Created weekly epochs for the markrting guild
"
514537,3894108,71,2023-10-23T22:06:47.204682+00:00,0.33,"Complete a short introduction to the Marketing Guild at Clarity.-
https://app.clarity.so/nation3-public/docs/2e07db6f-25c9-461e-8b39-2ade141ad0da"
513975,3894108,71,2023-10-23T22:06:47.204682+00:00,0.33,Start work today.
513932,3780245,272,2023-10-23T22:06:47.204682+00:00,0.33,Created marketing circle
